gender,race,parental level of education,lunch,test preparation course,math score,english score,math pass mark,english pass mark
male,group E,some college,standard,none,76,71,65,68
female,group D,master's degree,standard,none,74,79,65,68
female,group B,associate's degree,standard,completed,94,87,65,68
male,group C,some college,free/reduced,none,63,61,65,68
female,group E,associate's degree,standard,completed,95,89,65,68
female,group D,master's degree,free/reduced,none,40,59,65,68
female,group B,some high school,standard,none,82,82,65,68
male,group A,high school,standard,none,68,70,65,68
male,group B,bachelor's degree,free/reduced,none,55,59,65,68
male,group C,master's degree,standard,none,79,78,65,68
female,group C,bachelor's degree,standard,none,86,92,65,68
male,group D,some college,standard,none,76,71,65,68
male,group A,some high school,standard,none,64,50,65,68
male,group D,some high school,free/reduced,none,62,49,65,68
female,group B,some high school,standard,completed,54,61,65,68
female,group B,master's degree,free/reduced,completed,77,97,65,68
female,group C,some high school,standard,completed,76,87,65,68
female,group D,some college,standard,none,74,89,65,68
female,group E,some college,standard,completed,66,74,65,68
female,group D,some high school,standard,completed,66,78,65,68
female,group B,high school,free/reduced,completed,67,78,65,68
male,group D,some college,standard,none,71,49,65,68
female,group C,associate's degree,standard,none,91,86,65,68
male,group D,bachelor's degree,standard,none,69,58,65,68
male,group C,master's degree,free/reduced,none,54,59,65,68
male,group C,high school,standard,completed,53,52,65,68
male,group E,some college,standard,none,68,60,65,68
male,group C,some high school,free/reduced,completed,56,61,65,68
female,group C,high school,free/reduced,none,36,53,65,68
female,group D,bachelor's degree,free/reduced,none,29,41,65,68
female,group C,associate's degree,standard,none,62,74,65,68
female,group C,associate's degree,standard,completed,68,67,65,68
female,group C,some high school,standard,none,47,54,65,68
male,group E,associate's degree,standard,completed,62,61,65,68
female,group E,associate's degree,standard,completed,79,88,65,68
male,group B,high school,standard,completed,73,69,65,68
female,group C,bachelor's degree,free/reduced,completed,66,83,65,68
male,group C,associate's degree,standard,completed,51,60,65,68
female,group D,high school,standard,none,51,66,65,68
male,group E,bachelor's degree,standard,completed,85,66,65,68
male,group A,associate's degree,standard,completed,97,92,65,68
male,group C,high school,standard,completed,75,69,65,68
male,group D,associate's degree,free/reduced,completed,79,82,65,68
female,group C,associate's degree,standard,none,81,77,65,68
female,group D,associate's degree,standard,none,82,95,65,68
female,group D,master's degree,standard,none,64,63,65,68
male,group E,some high school,free/reduced,completed,78,83,65,68
female,group A,some high school,standard,completed,92,100,65,68
male,group C,high school,standard,completed,72,67,65,68
female,group C,high school,free/reduced,none,62,67,65,68
male,group C,master's degree,standard,none,79,72,65,68
male,group C,some high school,free/reduced,none,79,76,65,68
male,group B,bachelor's degree,free/reduced,completed,87,90,65,68
female,group B,associate's degree,standard,none,40,48,65,68
male,group D,some college,free/reduced,none,77,62,65,68
male,group E,associate's degree,standard,none,53,45,65,68
female,group C,some college,free/reduced,none,32,39,65,68
female,group C,associate's degree,standard,completed,55,72,65,68
male,group C,master's degree,free/reduced,none,61,67,65,68
female,group B,associate's degree,free/reduced,none,53,70,65,68
male,group D,some high school,standard,none,73,66,65,68
female,group D,some college,standard,completed,74,75,65,68
female,group C,some college,standard,none,63,74,65,68
male,group C,bachelor's degree,standard,completed,96,90,65,68
female,group D,some college,free/reduced,completed,63,80,65,68
male,group B,bachelor's degree,free/reduced,none,48,51,65,68
male,group B,associate's degree,standard,none,48,43,65,68
female,group E,bachelor's degree,free/reduced,completed,92,100,65,68
female,group D,master's degree,free/reduced,completed,61,71,65,68
male,group B,high school,free/reduced,none,63,48,65,68
male,group D,bachelor's degree,free/reduced,none,68,68,65,68
male,group B,some college,standard,completed,71,75,65,68
male,group A,bachelor's degree,standard,none,91,96,65,68
female,group C,some college,standard,none,53,62,65,68
female,group C,high school,free/reduced,completed,50,66,65,68
female,group E,high school,standard,none,74,81,65,68
male,group A,associate's degree,free/reduced,completed,40,55,65,68
male,group A,some college,standard,completed,61,51,65,68
female,group B,high school,standard,none,81,91,65,68
female,group B,some college,free/reduced,completed,48,56,65,68
female,group D,master's degree,standard,none,53,61,65,68
female,group D,some high school,standard,none,81,97,65,68
female,group E,some high school,standard,none,77,79,65,68
female,group D,bachelor's degree,free/reduced,none,63,73,65,68
female,group D,associate's degree,standard,completed,73,75,65,68
female,group D,some college,standard,none,69,77,65,68
female,group C,associate's degree,standard,none,65,76,65,68
female,group A,high school,standard,none,55,73,65,68
female,group C,bachelor's degree,free/reduced,none,44,63,65,68
female,group C,some college,standard,none,54,64,65,68
female,group A,some high school,standard,none,48,66,65,68
male,group C,some college,free/reduced,none,58,57,65,68
male,group A,some high school,standard,none,71,62,65,68
male,group E,bachelor's degree,standard,none,68,68,65,68
female,group E,high school,standard,none,74,76,65,68
female,group C,bachelor's degree,standard,completed,92,100,65,68
female,group C,bachelor's degree,standard,completed,56,79,65,68
male,group B,high school,free/reduced,none,30,24,65,68
male,group A,some high school,standard,none,53,54,65,68
female,group D,high school,standard,none,69,77,65,68
female,group D,some high school,standard,none,65,82,65,68
female,group D,master's degree,standard,none,54,60,65,68
female,group C,high school,standard,none,29,29,65,68
female,group E,some college,standard,none,76,78,65,68
male,group D,high school,free/reduced,none,60,57,65,68
male,group D,master's degree,free/reduced,completed,84,89,65,68
male,group C,some high school,standard,none,75,72,65,68
female,group C,associate's degree,standard,none,85,84,65,68
female,group C,master's degree,free/reduced,none,40,58,65,68
female,group E,some college,standard,none,61,64,65,68
female,group B,associate's degree,standard,none,58,63,65,68
male,group D,some college,free/reduced,completed,69,60,65,68
female,group C,some college,standard,none,58,59,65,68
male,group C,bachelor's degree,standard,completed,94,90,65,68
female,group C,associate's degree,standard,none,65,77,65,68
female,group A,associate's degree,standard,none,82,93,65,68
female,group C,high school,standard,none,60,68,65,68
female,group E,bachelor's degree,standard,none,37,45,65,68
male,group D,bachelor's degree,standard,none,88,78,65,68
male,group D,master's degree,standard,none,95,81,65,68
male,group C,associate's degree,free/reduced,completed,65,73,65,68
female,group C,high school,free/reduced,none,35,61,65,68
male,group B,bachelor's degree,free/reduced,none,62,63,65,68
male,group C,high school,free/reduced,completed,58,51,65,68
male,group A,some college,standard,completed,100,96,65,68
female,group E,bachelor's degree,free/reduced,none,61,58,65,68
male,group D,some college,standard,completed,100,97,65,68
male,group B,associate's degree,free/reduced,completed,69,70,65,68
male,group D,associate's degree,standard,none,61,48,65,68
male,group D,some college,free/reduced,none,49,57,65,68
female,group C,some high school,standard,completed,44,51,65,68
male,group D,some college,standard,none,67,64,65,68
male,group B,high school,standard,none,79,60,65,68
female,group B,bachelor's degree,standard,completed,66,74,65,68
female,group C,high school,standard,none,75,88,65,68
male,group D,some high school,standard,none,84,84,65,68
male,group A,high school,standard,none,71,74,65,68
female,group B,high school,free/reduced,completed,67,80,65,68
female,group D,some high school,standard,completed,80,92,65,68
male,group E,some college,standard,none,86,76,65,68
female,group D,associate's degree,standard,none,76,74,65,68
male,group D,high school,standard,none,41,52,65,68
female,group D,associate's degree,free/reduced,completed,74,88,65,68
female,group B,some high school,free/reduced,none,72,81,65,68
female,group E,high school,standard,completed,74,79,65,68
male,group B,high school,standard,none,70,65,65,68
female,group B,bachelor's degree,standard,completed,65,81,65,68
female,group D,associate's degree,standard,none,59,70,65,68
female,group E,high school,free/reduced,none,64,62,65,68
female,group B,high school,standard,none,50,53,65,68
female,group D,some college,standard,completed,69,79,65,68
male,group C,some high school,free/reduced,completed,51,56,65,68
female,group A,high school,standard,completed,68,80,65,68
female,group D,some college,standard,completed,85,86,65,68
female,group A,associate's degree,standard,completed,65,70,65,68
female,group B,some high school,standard,none,73,79,65,68
female,group B,some college,standard,none,62,67,65,68
male,group C,associate's degree,free/reduced,none,77,67,65,68
male,group D,some high school,standard,none,69,66,65,68
female,group D,associate's degree,free/reduced,none,43,60,65,68
male,group D,associate's degree,standard,none,90,87,65,68
male,group C,some college,free/reduced,none,74,77,65,68
male,group C,some high school,standard,none,73,66,65,68
female,group D,some college,free/reduced,none,55,71,65,68
female,group C,high school,standard,none,65,69,65,68
male,group D,associate's degree,standard,none,80,63,65,68
female,group C,some high school,free/reduced,completed,50,60,65,68
female,group C,some college,free/reduced,completed,63,73,65,68
female,group B,bachelor's degree,free/reduced,none,77,85,65,68
male,group C,some college,standard,none,73,74,65,68
male,group D,associate's degree,standard,completed,81,72,65,68
female,group C,high school,free/reduced,none,66,76,65,68
male,group D,associate's degree,free/reduced,none,52,57,65,68
female,group C,some college,standard,none,69,78,65,68
female,group C,associate's degree,standard,completed,65,84,65,68
female,group D,high school,standard,completed,69,77,65,68
female,group B,some college,standard,completed,50,64,65,68
female,group E,some college,standard,completed,73,78,65,68
female,group C,some high school,standard,completed,70,82,65,68
male,group D,associate's degree,free/reduced,none,81,75,65,68
male,group D,some college,free/reduced,none,63,61,65,68
female,group D,high school,standard,none,67,72,65,68
male,group B,high school,standard,none,60,68,65,68
male,group B,high school,standard,none,62,55,65,68
female,group C,some high school,free/reduced,completed,29,40,65,68
male,group B,some college,standard,completed,62,66,65,68
female,group E,master's degree,standard,completed,94,99,65,68
male,group E,some college,standard,completed,85,75,65,68
male,group D,associate's degree,free/reduced,none,77,78,65,68
male,group A,high school,free/reduced,none,53,58,65,68
male,group E,some college,free/reduced,none,93,90,65,68
female,group C,associate's degree,standard,none,49,53,65,68
female,group E,associate's degree,free/reduced,none,73,76,65,68
female,group C,bachelor's degree,free/reduced,completed,66,74,65,68
female,group D,associate's degree,standard,none,77,77,65,68
female,group C,some high school,standard,none,49,63,65,68
female,group D,some college,free/reduced,none,79,89,65,68
female,group C,associate's degree,standard,completed,75,82,65,68
female,group A,bachelor's degree,standard,none,59,72,65,68
female,group D,associate's degree,standard,completed,57,78,65,68
male,group C,high school,free/reduced,none,66,66,65,68
female,group E,bachelor's degree,standard,completed,79,81,65,68
female,group B,some high school,standard,none,57,67,65,68
male,group A,bachelor's degree,standard,completed,87,84,65,68
female,group D,some college,standard,none,63,64,65,68
female,group B,some high school,free/reduced,completed,59,63,65,68
male,group A,bachelor's degree,free/reduced,none,62,72,65,68
male,group D,high school,standard,none,46,34,65,68
male,group C,some college,standard,none,66,59,65,68
male,group D,high school,standard,none,89,87,65,68
female,group D,associate's degree,free/reduced,completed,42,61,65,68
male,group C,some college,standard,completed,93,84,65,68
female,group E,some high school,standard,completed,80,85,65,68
female,group D,some college,standard,none,98,100,65,68
male,group D,master's degree,standard,none,81,81,65,68
female,group B,some high school,standard,completed,60,70,65,68
female,group B,associate's degree,free/reduced,completed,76,94,65,68
male,group C,associate's degree,standard,completed,73,78,65,68
female,group C,associate's degree,standard,completed,96,96,65,68
female,group C,high school,standard,none,76,76,65,68
male,group E,associate's degree,free/reduced,completed,91,73,65,68
female,group C,some college,free/reduced,none,62,72,65,68
male,group D,some high school,free/reduced,completed,55,59,65,68
female,group B,some high school,free/reduced,completed,74,90,65,68
male,group C,high school,standard,none,50,48,65,68
male,group B,some college,standard,none,47,43,65,68
male,group E,some college,standard,completed,81,74,65,68
female,group E,associate's degree,standard,completed,65,75,65,68
male,group E,some high school,standard,completed,68,51,65,68
female,group D,high school,free/reduced,none,73,92,65,68
male,group C,some college,standard,none,53,39,65,68
female,group B,associate's degree,free/reduced,completed,68,77,65,68
male,group A,some high school,free/reduced,none,55,46,65,68
female,group C,some college,standard,completed,87,89,65,68
male,group D,some high school,standard,none,55,47,65,68
female,group E,some college,free/reduced,none,53,58,65,68
male,group C,master's degree,standard,none,67,57,65,68
male,group C,associate's degree,standard,none,92,79,65,68
female,group B,some college,free/reduced,completed,53,66,65,68
male,group D,associate's degree,standard,none,81,71,65,68
male,group C,high school,free/reduced,none,61,60,65,68
male,group D,bachelor's degree,standard,none,80,73,65,68
female,group A,associate's degree,free/reduced,none,37,57,65,68
female,group C,high school,standard,none,81,84,65,68
female,group C,associate's degree,standard,completed,59,73,65,68
male,group B,some college,free/reduced,none,55,55,65,68
male,group D,associate's degree,standard,none,72,79,65,68
male,group D,high school,standard,none,69,75,65,68
male,group C,some college,standard,none,69,64,65,68
female,group C,bachelor's degree,free/reduced,none,50,60,65,68
male,group B,some college,standard,completed,87,84,65,68
male,group D,some high school,standard,completed,71,69,65,68
male,group E,some college,standard,none,68,72,65,68
male,group C,master's degree,free/reduced,completed,79,77,65,68
female,group C,some high school,standard,completed,77,90,65,68
male,group C,associate's degree,free/reduced,none,58,55,65,68
female,group E,associate's degree,standard,none,84,95,65,68
male,group D,some college,standard,none,55,58,65,68
male,group E,bachelor's degree,free/reduced,completed,70,68,65,68
female,group D,some college,free/reduced,completed,52,59,65,68
male,group B,some college,standard,completed,69,77,65,68
female,group C,high school,free/reduced,none,53,72,65,68
female,group D,some high school,standard,none,48,58,65,68
male,group D,some high school,standard,completed,78,81,65,68
female,group B,high school,standard,none,62,62,65,68
male,group D,some college,standard,none,60,63,65,68
female,group B,high school,standard,none,74,72,65,68
female,group C,high school,standard,completed,58,75,65,68
male,group B,high school,standard,completed,76,62,65,68
female,group D,some high school,standard,none,68,71,65,68
male,group A,some college,free/reduced,none,58,60,65,68
male,group B,high school,standard,none,52,48,65,68
male,group D,bachelor's degree,standard,none,75,73,65,68
female,group B,some high school,free/reduced,completed,52,67,65,68
female,group C,bachelor's degree,free/reduced,none,62,78,65,68
male,group B,some college,standard,none,66,65,65,68
female,group B,some high school,free/reduced,none,49,58,65,68
female,group B,high school,standard,none,66,72,65,68
female,group C,some college,free/reduced,none,35,44,65,68
female,group A,some college,standard,completed,72,79,65,68
male,group E,associate's degree,standard,completed,94,85,65,68
female,group D,associate's degree,free/reduced,none,46,56,65,68
female,group B,master's degree,standard,none,77,90,65,68
female,group B,high school,free/reduced,completed,76,85,65,68
female,group C,associate's degree,standard,completed,52,59,65,68
male,group C,bachelor's degree,standard,completed,91,81,65,68
female,group B,some high school,standard,completed,32,51,65,68
female,group E,some high school,free/reduced,none,72,79,65,68
female,group B,some college,standard,none,19,38,65,68
male,group C,associate's degree,free/reduced,none,68,65,65,68
female,group C,master's degree,free/reduced,none,52,65,65,68
female,group B,high school,standard,none,48,62,65,68
female,group D,some college,free/reduced,none,60,66,65,68
male,group D,high school,free/reduced,none,66,74,65,68
male,group E,some high school,standard,completed,89,84,65,68
female,group B,high school,standard,none,42,52,65,68
female,group E,associate's degree,free/reduced,completed,57,68,65,68
male,group D,high school,standard,none,70,70,65,68
female,group E,associate's degree,free/reduced,none,70,84,65,68
male,group E,some college,standard,none,69,60,65,68
female,group C,associate's degree,standard,none,52,55,65,68
male,group C,some high school,standard,completed,67,73,65,68
male,group C,some high school,standard,completed,76,80,65,68
female,group E,associate's degree,standard,none,87,94,65,68
female,group B,some college,standard,none,82,85,65,68
female,group C,some college,standard,none,73,76,65,68
male,group A,some college,free/reduced,none,75,81,65,68
female,group D,some college,free/reduced,none,64,74,65,68
female,group E,high school,free/reduced,none,41,45,65,68
male,group C,high school,standard,none,90,75,65,68
male,group B,bachelor's degree,standard,none,59,54,65,68
male,group A,some high school,standard,none,51,31,65,68
male,group A,high school,free/reduced,none,45,47,65,68
female,group C,master's degree,standard,completed,54,64,65,68
male,group E,some high school,standard,completed,87,84,65,68
female,group C,high school,standard,none,72,80,65,68
male,group B,some high school,standard,completed,94,86,65,68
female,group A,bachelor's degree,standard,none,45,59,65,68
male,group D,bachelor's degree,free/reduced,completed,61,70,65,68
female,group B,high school,free/reduced,none,60,72,65,68
female,group C,some high school,standard,none,77,91,65,68
female,group A,some high school,standard,completed,85,90,65,68
female,group D,bachelor's degree,free/reduced,none,78,90,65,68
male,group E,some college,free/reduced,completed,49,52,65,68
female,group B,high school,free/reduced,none,71,87,65,68
female,group C,some high school,free/reduced,none,48,58,65,68
male,group C,high school,standard,none,62,67,65,68
female,group C,associate's degree,free/reduced,completed,56,68,65,68
female,group C,some high school,standard,none,65,69,65,68
female,group D,some high school,free/reduced,completed,69,86,65,68
male,group B,some high school,standard,none,68,54,65,68
female,group A,some college,free/reduced,none,61,60,65,68
female,group C,bachelor's degree,free/reduced,completed,74,86,65,68
male,group A,bachelor's degree,standard,none,64,60,65,68
female,group B,high school,standard,completed,77,82,65,68
male,group B,some college,standard,none,58,50,65,68
female,group C,high school,standard,completed,60,64,65,68
male,group E,high school,standard,none,73,64,65,68
female,group A,high school,standard,completed,75,82,65,68
male,group B,associate's degree,free/reduced,completed,58,57,65,68
female,group C,associate's degree,standard,none,66,77,65,68
female,group D,high school,free/reduced,none,39,52,65,68
male,group C,some high school,standard,none,64,58,65,68
female,group B,high school,free/reduced,completed,23,44,65,68
male,group B,some college,free/reduced,completed,74,77,65,68
female,group D,some high school,free/reduced,completed,40,65,65,68
male,group E,master's degree,standard,none,90,85,65,68
male,group C,master's degree,standard,completed,91,85,65,68
male,group D,high school,standard,none,64,54,65,68
female,group C,high school,standard,none,59,72,65,68
male,group D,associate's degree,standard,none,80,75,65,68
male,group C,master's degree,standard,none,71,67,65,68
female,group A,high school,standard,none,61,68,65,68
female,group E,some college,standard,none,87,85,65,68
male,group E,some high school,standard,none,82,67,65,68
male,group C,some high school,standard,none,62,64,65,68
female,group B,bachelor's degree,standard,none,97,97,65,68
male,group B,some college,free/reduced,none,75,68,65,68
female,group C,bachelor's degree,standard,none,65,79,65,68
male,group B,high school,standard,completed,52,49,65,68
male,group C,associate's degree,free/reduced,none,87,73,65,68
female,group C,associate's degree,standard,none,53,62,65,68
female,group E,master's degree,free/reduced,none,81,86,65,68
male,group D,bachelor's degree,free/reduced,completed,39,42,65,68
female,group C,some college,standard,completed,71,71,65,68
male,group C,associate's degree,standard,none,97,93,65,68
male,group D,some college,standard,completed,82,82,65,68
male,group C,high school,free/reduced,none,59,53,65,68
male,group B,associate's degree,standard,none,61,42,65,68
male,group E,associate's degree,free/reduced,completed,78,74,65,68
male,group C,associate's degree,free/reduced,none,49,51,65,68
male,group B,high school,standard,none,59,58,65,68
female,group C,some college,standard,completed,70,72,65,68
male,group B,associate's degree,standard,completed,82,84,65,68
male,group E,associate's degree,free/reduced,none,90,90,65,68
female,group C,bachelor's degree,free/reduced,none,43,62,65,68
male,group C,some college,free/reduced,none,80,64,65,68
male,group D,some college,standard,none,81,82,65,68
male,group C,some high school,standard,none,57,61,65,68
female,group D,some high school,standard,none,59,72,65,68
female,group D,associate's degree,standard,none,64,76,65,68
male,group C,bachelor's degree,standard,completed,63,64,65,68
female,group E,bachelor's degree,standard,completed,71,70,65,68
female,group B,high school,free/reduced,none,64,73,65,68
male,group D,bachelor's degree,free/reduced,none,55,46,65,68
female,group E,associate's degree,standard,none,51,51,65,68
female,group C,associate's degree,standard,completed,62,76,65,68
female,group E,associate's degree,standard,completed,93,100,65,68
male,group C,high school,free/reduced,none,54,72,65,68
female,group D,some college,free/reduced,none,69,65,65,68
male,group D,high school,free/reduced,none,44,51,65,68
female,group E,some college,standard,completed,86,85,65,68
female,group E,associate's degree,standard,none,85,92,65,68
female,group A,master's degree,free/reduced,none,50,67,65,68
male,group D,some high school,standard,completed,88,74,65,68
female,group E,associate's degree,standard,none,59,62,65,68
female,group E,some high school,free/reduced,none,32,34,65,68
male,group B,high school,free/reduced,none,36,29,65,68
female,group B,some high school,free/reduced,completed,63,78,65,68
male,group D,associate's degree,standard,completed,67,54,65,68
female,group D,some high school,standard,completed,65,78,65,68
male,group D,master's degree,standard,none,85,84,65,68
female,group C,master's degree,standard,none,73,78,65,68
female,group A,high school,free/reduced,completed,34,48,65,68
female,group D,bachelor's degree,free/reduced,completed,93,100,65,68
female,group D,some high school,free/reduced,none,67,84,65,68
male,group D,some college,standard,none,88,77,65,68
male,group B,high school,standard,none,57,48,65,68
female,group D,some college,standard,completed,79,84,65,68
female,group C,bachelor's degree,free/reduced,none,67,75,65,68
male,group E,bachelor's degree,standard,completed,70,64,65,68
male,group D,bachelor's degree,free/reduced,none,50,42,65,68
female,group A,some college,standard,none,69,84,65,68
female,group C,bachelor's degree,standard,completed,52,61,65,68
female,group C,bachelor's degree,free/reduced,completed,47,62,65,68
female,group B,associate's degree,free/reduced,none,46,61,65,68
female,group E,some college,standard,none,68,70,65,68
male,group E,bachelor's degree,standard,completed,100,100,65,68
female,group C,high school,standard,none,44,61,65,68
female,group C,associate's degree,standard,completed,57,77,65,68
male,group B,some college,standard,completed,91,96,65,68
male,group D,high school,free/reduced,none,69,70,65,68
female,group C,high school,free/reduced,none,35,53,65,68
male,group D,high school,standard,none,72,66,65,68
female,group B,associate's degree,free/reduced,none,54,65,65,68
male,group D,high school,free/reduced,none,74,70,65,68
male,group E,some high school,standard,completed,74,64,65,68
male,group E,associate's degree,free/reduced,none,64,56,65,68
female,group D,high school,free/reduced,completed,65,61,65,68
male,group E,associate's degree,free/reduced,completed,46,43,65,68
female,group C,some high school,free/reduced,none,48,56,65,68
male,group C,some college,free/reduced,completed,67,74,65,68
male,group D,some college,free/reduced,none,62,57,65,68
male,group D,associate's degree,free/reduced,completed,61,71,65,68
male,group C,bachelor's degree,free/reduced,completed,70,75,65,68
male,group C,associate's degree,standard,completed,98,87,65,68
male,group D,some college,free/reduced,none,70,63,65,68
male,group A,associate's degree,standard,none,67,57,65,68
female,group E,high school,free/reduced,none,57,58,65,68
male,group D,some college,standard,completed,85,81,65,68
male,group D,some high school,standard,completed,77,68,65,68
male,group C,master's degree,free/reduced,completed,72,66,65,68
female,group D,master's degree,standard,none,78,91,65,68
male,group C,high school,standard,none,81,66,65,68
male,group A,some high school,free/reduced,completed,61,62,65,68
female,group B,high school,standard,none,58,68,65,68
female,group C,associate's degree,standard,none,54,61,65,68
male,group B,high school,standard,none,82,82,65,68
female,group D,some college,free/reduced,none,49,58,65,68
male,group B,some high school,free/reduced,completed,49,50,65,68
female,group E,high school,free/reduced,completed,57,75,65,68
male,group E,high school,standard,none,94,73,65,68
female,group D,some college,standard,completed,75,77,65,68
female,group E,some high school,free/reduced,none,74,74,65,68
male,group C,high school,standard,completed,58,52,65,68
female,group C,some college,standard,none,62,69,65,68
male,group E,associate's degree,standard,none,72,57,65,68
male,group C,some college,standard,none,84,87,65,68
female,group D,master's degree,standard,none,92,100,65,68
female,group D,high school,standard,none,45,63,65,68
male,group C,high school,standard,none,75,81,65,68
female,group A,some college,standard,none,56,58,65,68
female,group D,some high school,free/reduced,none,48,54,65,68
female,group E,associate's degree,standard,none,100,100,65,68
female,group C,some high school,free/reduced,completed,65,76,65,68
male,group D,some college,standard,none,72,57,65,68
female,group D,some college,standard,none,62,70,65,68
male,group A,some high school,standard,completed,66,68,65,68
male,group C,some college,standard,none,63,63,65,68
female,group E,associate's degree,standard,none,68,76,65,68
female,group B,bachelor's degree,standard,none,75,84,65,68
female,group D,bachelor's degree,standard,none,89,100,65,68
male,group C,some high school,standard,completed,78,72,65,68
female,group A,high school,free/reduced,completed,53,50,65,68
female,group D,some college,free/reduced,none,49,65,65,68
female,group A,some college,standard,none,54,63,65,68
female,group C,some college,standard,completed,64,82,65,68
male,group B,some college,free/reduced,completed,60,62,65,68
male,group C,associate's degree,standard,none,62,65,65,68
male,group D,high school,standard,completed,55,41,65,68
female,group C,associate's degree,standard,none,91,95,65,68
female,group B,high school,free/reduced,none,8,24,65,68
male,group D,some high school,standard,none,81,78,65,68
male,group B,some high school,standard,completed,79,85,65,68
female,group A,some college,standard,completed,78,87,65,68
female,group C,some high school,standard,none,74,75,65,68
male,group A,high school,standard,none,57,51,65,68
female,group C,associate's degree,standard,none,40,59,65,68
male,group E,some high school,standard,completed,81,75,65,68
female,group A,some high school,free/reduced,none,44,45,65,68
female,group D,some college,free/reduced,completed,67,86,65,68
male,group E,high school,free/reduced,completed,86,81,65,68
female,group B,some high school,standard,completed,65,82,65,68
female,group D,associate's degree,free/reduced,none,55,76,65,68
female,group D,bachelor's degree,free/reduced,none,62,72,65,68
male,group A,high school,standard,none,63,63,65,68
female,group E,master's degree,standard,completed,88,99,65,68
male,group C,high school,free/reduced,none,62,55,65,68
female,group C,high school,free/reduced,completed,59,71,65,68
female,group D,some college,standard,completed,68,78,65,68
female,group D,some college,free/reduced,none,77,86,65,68